ID,Category,Indicator Name,Definition,Definition_Plain,Unit of Measure,Operationalization,Collection Frequency,Priority,Notes/Edge Cases,Domain_Original,Domain_Code,Domain_Name,Domain_Question,Tier,Tier_Rationale,Data_Reliability
SH01,Shelter & Housing,Number of emergency shelters in community,Count of facilities providing emergency overnight accommodation for GBV survivors,"How many emergency shelters can survivors go to in this community?",Integer (0+),Binary presence (0/1) OR count if >1,Annual,HIGH,"Include: women's shelters, transition houses, emergency beds. Exclude: homeless shelters without GBV mandate",D1: Shelter Infrastructure,A,Safe Places to Stay,Can survivors access emergency and transitional housing?,1,HIGH priority + HIGH reliability,HIGH
SH02,Shelter & Housing,Number of second-stage housing units in community,Count of transitional housing units specifically for GBV survivors post-shelter,"How many transitional housing units are available for survivors after they leave the shelter?",Integer (0+),Count of units available,Annual,HIGH,Units must be designated for GBV survivors; include both organization-operated and housing authority partnerships,D1: Shelter Infrastructure,A,Safe Places to Stay,Can survivors access emergency and transitional housing?,1,HIGH priority + HIGH reliability,HIGH
SH03,Shelter & Housing,Wait time to access shelter,Average number of days from crisis contact to shelter placement,"How long do survivors typically wait to get into a shelter?",Days (continuous),Mean wait time; 0 if immediate access typical,Quarterly,HIGH,Based on shelter intake data; flag if shelter at capacity >50% of time,D1: Shelter Infrastructure,A,Safe Places to Stay,Can survivors access emergency and transitional housing?,1,HIGH priority + MEDIUM reliability,MEDIUM
SH04,Shelter & Housing,Pet-friendly shelter capacity,Whether shelter accommodates companion animals and number of animal spaces,"Can survivors bring their pets to the shelter?",Binary + Integer,"0=No, 1=Yes; if yes, count spaces",Annual,MEDIUM,Critical for rural/northern contexts where animals are common and barrier to leaving,D1: Shelter Infrastructure,A,Safe Places to Stay,Can survivors access emergency and transitional housing?,1,MEDIUM priority but critical northern context,HIGH
SH05,Shelter & Housing,Distance to nearest shelter from community centre,Kilometres from community's main intersection/centre to nearest GBV shelter,"How far do survivors have to travel to reach the nearest shelter?",Kilometres,Driving distance via primary road,Static (update on new shelter),HIGH,Use Google Maps driving distance; note if road seasonal or fly-in only,D2: Housing Access,A,Safe Places to Stay,Can survivors access emergency and transitional housing?,1,HIGH priority + HIGH reliability,HIGH
SH06,Shelter & Housing,Availability of pet-friendly rental housing,Proportion of rental housing stock that permits pets,"What percentage of rental housing allows pets?",Percentage,Estimate from housing authority/CMHC data,Annual,MEDIUM,Proxy indicator for housing options when leaving abuser with animals,D2: Housing Access,A,Safe Places to Stay,Can survivors access emergency and transitional housing?,2,MEDIUM priority + MEDIUM reliability,MEDIUM
TR01,Transportation,Existence of public transportation,Whether any scheduled public transit service operates in community,"Is there any public transit in this community?",Binary,"0=None, 1=Exists",Annual,HIGH,"Include: municipal bus, inter-community bus. Exclude: school bus, charter only",D3: Transportation,B,Getting Where You Need to Go,Can survivors travel to services safely?,1,HIGH priority + HIGH reliability,HIGH
TR02,Transportation,Existence of emergency transportation options,Availability of crisis transportation (not requiring personal vehicle),"Can survivors get emergency transportation without needing their own car?",Categorical,"0=None, 1=Taxi only, 2=Crisis transport service, 3=Both",Annual,HIGH,"Include: victim services transport, shelter pickup, crisis taxi vouchers",D3: Transportation,B,Getting Where You Need to Go,Can survivors travel to services safely?,1,HIGH priority + HIGH reliability,HIGH
TR03,Transportation,Distance to nearest hospital with SANE,Kilometres to nearest Sexual Assault Nurse Examiner program,"How far is the nearest hospital where survivors can get a forensic exam after sexual assault?",Kilometres,Driving distance; note if >24hr travel,Static (update on program change),HIGH,Critical for forensic evidence collection window (72-120 hours),D3: Transportation,B,Getting Where You Need to Go,Can survivors travel to services safely?,1,HIGH priority + HIGH reliability,HIGH
TR04,Transportation,Availability of travel funds for GBV services,Whether dedicated travel subsidy exists for GBV service access,"Is there money available to help survivors pay for travel to get services?",Binary + Dollar,"0=None, 1=Yes; if yes, maximum amount available",Annual,HIGH,"Include: shelter travel funds, victim services travel, First Nation travel support",D3: Transportation,B,Getting Where You Need to Go,Can survivors travel to services safely?,1,HIGH priority + MEDIUM reliability,MEDIUM
TR05,Transportation,Number of transportation options for crisis situations,Count of distinct crisis transportation mechanisms available,"How many different ways can survivors get emergency transportation?",Integer,"Sum of: taxi voucher program, victim services transport, shelter pickup, volunteer driver network, etc.",Annual,MEDIUM,More options = greater accessibility; weight by 24/7 availability,D3: Transportation,B,Getting Where You Need to Go,Can survivors travel to services safely?,2,MEDIUM priority + MEDIUM reliability,MEDIUM
HC01,Healthcare,Access to SANE program,Type of Sexual Assault Nurse Examiner access available,"What kind of access do survivors have to Sexual Assault Nurse Examiners?",Categorical,"0=None within 500km, 1=Hospital-based only, 2=Community-based, 3=Both",Annual,HIGH,Currently: Whitehorse General Hospital only in Yukon,D4: Healthcare Response,C,Health Care That Understands,Do healthcare providers recognize and respond to GBV?,1,HIGH priority + HIGH reliability,HIGH
HC02,Healthcare,Number of healthcare workers with IPV training,Count of healthcare providers with documented IPV/DV training,"How many healthcare workers have training on intimate partner violence?",Integer,Count from health authority training records,Annual,MEDIUM,"Include: physicians, nurses, NPs, social workers in healthcare settings",D4: Healthcare Response,C,Health Care That Understands,Do healthcare providers recognize and respond to GBV?,2,MEDIUM priority + LOW reliability (confidential data),LOW
HC03,Healthcare,Access to primary healthcare provider,Whether community has resident or regular visiting primary care,"Does the community have regular access to a doctor or nurse practitioner?",Categorical,"0=None, 1=Visiting only, 2=Part-time resident, 3=Full-time resident",Annual,HIGH,Visiting = scheduled clinic days; resident = permanent practice location,D4: Healthcare Response,C,Health Care That Understands,Do healthcare providers recognize and respond to GBV?,1,HIGH priority + HIGH reliability,HIGH
HC04,Healthcare,Availability of trauma-informed mental health services,Whether mental health services with trauma specialization exist,"Are there mental health services available that specialize in trauma?",Binary,"0=None, 1=Available (in-person or virtual)",Annual,HIGH,"Include: counselling, psychology, psychiatric services with trauma training",D4: Healthcare Response,C,Health Care That Understands,Do healthcare providers recognize and respond to GBV?,1,HIGH priority + MEDIUM reliability,MEDIUM
LJ01,Legal/Justice,Access to Victim Services,Whether Yukon Victim Services has presence/outreach in community,"How can survivors access Victim Services in this community?",Categorical,"0=None, 1=Phone/virtual only, 2=Scheduled visits, 3=Permanent office",Annual,HIGH,Yukon Victim Services is territorial program; check outreach schedule,D5: Legal/Justice Access,D,Protection and Justice,Can survivors access legal protection and support?,1,HIGH priority + HIGH reliability,HIGH
LJ02,Legal/Justice,Access to legal aid hours,Number of legal aid hours available for family/protection matters,"How many hours of legal aid are available for family and protection matters?",Hours/year,From Yukon Legal Services Society allocation,Annual,HIGH,Note: legal aid eligibility is means-tested; capture total allocation,D5: Legal/Justice Access,D,Protection and Justice,Can survivors access legal protection and support?,1,HIGH priority + HIGH reliability,HIGH
LJ03,Legal/Justice,Presence of DV-specialized court,Whether Domestic Violence Treatment Option Court serves community,"Is there a specialized domestic violence court that serves this community?",Binary,"0=No, 1=Yes (including circuit court)",Annual,MEDIUM,Whitehorse has DVTO court; check circuit court coverage for other communities,D5: Legal/Justice Access,D,Protection and Justice,Can survivors access legal protection and support?,1,MEDIUM priority + HIGH reliability,HIGH
LJ04,Legal/Justice,Access to alternative justice measures,Availability of restorative/Indigenous justice options for GBV,"Are there restorative or Indigenous justice options available for GBV cases?",Categorical,"0=None, 1=First Nation justice only, 2=Territorial program, 3=Both",Annual,MEDIUM,Critical for Indigenous communities; include Community Justice programs,D5: Legal/Justice Access,D,Protection and Justice,Can survivors access legal protection and support?,1,MEDIUM priority + critical for Indigenous communities,MEDIUM
SS01,Support Services,Number of GBV-specific services in community,Count of organizations with explicit GBV service mandate,"How many organizations in this community specifically help GBV survivors?",Integer,Count distinct organizations,Annual,HIGH,"Include: shelters, counselling, advocacy, outreach. Exclude: general social services",D6: Support Services,E,Help When You Need It,Are crisis and counselling services available?,1,HIGH priority + HIGH reliability,HIGH
SS02,Support Services,Availability of virtual service options,Whether GBV services can be accessed remotely,"Can survivors access GBV services by phone or video?",Binary,"0=In-person only, 1=Virtual options available",Annual,HIGH,"Critical for isolated communities; include phone, video, chat",D6: Support Services,E,Help When You Need It,Are crisis and counselling services available?,1,HIGH priority + HIGH reliability,HIGH
SS03,Support Services,Wait time for counselling services,Average days from referral to first counselling appointment,"How long do survivors wait to see a counsellor?",Days,Mean wait time from service provider data,Quarterly,HIGH,Capture both GBV-specific and general mental health counselling,D6: Support Services,E,Help When You Need It,Are crisis and counselling services available?,1,HIGH priority + MEDIUM reliability,MEDIUM
SS04,Support Services,24/7 crisis line access,Whether 24/7 crisis support is accessible from community,"Can survivors call a crisis line any time day or night?",Binary,"0=No, 1=Yes",Annual,HIGH,"Include: VictimLink BC, territorial crisis lines. Note if long-distance charges apply",D6: Support Services,E,Help When You Need It,Are crisis and counselling services available?,1,HIGH priority + HIGH reliability,HIGH
EC01,Economic,Availability of emergency financial aid for GBV survivors,Whether emergency funds specifically for GBV situations exist,"Is there emergency money available specifically for GBV survivors?",Binary + Dollar,"0=None, 1=Yes; maximum one-time amount available",Annual,HIGH,"Include: shelter emergency funds, victim services financial assistance, First Nation emergency funds",D7: Economic Security,F,Money and Independence,Can survivors access money and resources to leave?,1,HIGH priority + MEDIUM reliability,MEDIUM
EC02,Economic,Availability of relocation funds,Whether financial support for relocation away from abuser exists,"Is there money to help survivors move away from their abuser?",Binary + Dollar,"0=None, 1=Yes; maximum amount available",Annual,HIGH,"Include: moving costs, damage deposits, first/last month rent assistance",D7: Economic Security,F,Money and Independence,Can survivors access money and resources to leave?,1,HIGH priority + HIGH reliability,HIGH
PL01,Policy & Systems,Policies addressing confidentiality in RRN context,Whether GBV service providers have explicit policies for small-community confidentiality challenges,"Do service providers have policies for keeping things confidential in small communities where everyone knows each other?",Binary + Quality,"0=None, 1=Generic, 2=RRN-specific protocols",Annual,MEDIUM,"Audit shelter, VS, health policies; look for dual-relationship, information-sharing protocols",D8: Policy Infrastructure,G,How Systems Work Together,Do organizations have policies that protect survivors?,1,MEDIUM priority but core to RRN measurement justice,MEDIUM
PL02,Policy & Systems,Policies addressing multiple-role relationships,Protocols for when service provider has pre-existing relationship with victim or perpetrator,"Do service providers have policies for when they already know the survivor or abuser personally?",Binary,"0=No policy, 1=Policy exists",Annual,MEDIUM,Critical for RRN where provider likely knows both parties; audit all GBV service orgs,D8: Policy Infrastructure,G,How Systems Work Together,Do organizations have policies that protect survivors?,2,MEDIUM priority + MEDIUM reliability,MEDIUM
PL03,Policy & Systems,GBV-specific policies in non-GBV settings,"Whether major employers, schools, health facilities have GBV workplace policies","Do major employers and schools have policies about GBV?",Percentage,% of major employers (10+ staff) with documented policy,Biennial,MEDIUM,"Survey top 20 employers per community; include YG, FN governments, mines, schools",D8: Policy Infrastructure,G,How Systems Work Together,Do organizations have policies that protect survivors?,2,MEDIUM priority + LOW reliability (requires employer survey),LOW
PL04,Policy & Systems,Level of interagency collaboration,Existence and activity level of formal coordination mechanisms,"How well do different agencies work together on GBV?",Categorical,"0=None, 1=Informal, 2=MOU exists, 3=Active coordination table",Annual,MEDIUM,"Check for: interagency committees, shared protocols, joint training, case conferencing",D8: Policy Infrastructure,G,How Systems Work Together,Do organizations have policies that protect survivors?,2,MEDIUM priority + MEDIUM reliability,MEDIUM
PL05,Policy & Systems,Evidence of formal referral pathways,Whether documented referral protocols exist between key services,"Are there clear documented pathways for referring survivors between services?",Count,Number of documented referral pathways (max ~10 key connections),Annual,MEDIUM,"Key pathways: shelter-VS, health-shelter, RCMP-VS, legal aid-shelter, etc.",D8: Policy Infrastructure,G,How Systems Work Together,Do organizations have policies that protect survivors?,2,MEDIUM priority + MEDIUM reliability,MEDIUM
PL06,Policy & Systems,Disaster/emergency preparedness in GBV organizations,Whether GBV service providers have business continuity plans,"Do GBV organizations have plans to keep operating during emergencies?",Binary,"0=No plan, 1=Plan exists",Annual,LOW,"Post-COVID relevance; include pandemic, wildfire, flood scenarios",D8: Policy Infrastructure,G,How Systems Work Together,Do organizations have policies that protect survivors?,2,LOW priority,LOW
PL07,Policy & Systems,Workplace GBV policies in extractive industry,Whether active mine sites have documented GBV/harassment policies,"Do mining companies have policies about GBV and harassment?",Percentage,% of active mine sites with policy,Annual,HIGH,"Direct YESAB relevance; audit policies of Minto, Eagle Gold, Victoria Gold, Casino",D8: Policy Infrastructure,G,How Systems Work Together,Do organizations have policies that protect survivors?,1,HIGH priority + HIGH reliability (YESAB),HIGH
PL08,Policy & Systems,Data-sharing agreements between agencies,Existence of formal agreements enabling coordinated data collection,"Do agencies have agreements to share data with each other?",Count,Number of active data-sharing MOUs among GBV-relevant agencies,Annual,MEDIUM,Foundational for future measurement; note where agreements are needed but absent,D8: Policy Infrastructure,G,How Systems Work Together,Do organizations have policies that protect survivors?,2,MEDIUM priority + infrastructure for measurement,MEDIUM
WF01,Workforce,Staff turnover in GBV sector,Annual turnover rate in frontline GBV positions,"How often do staff leave GBV organizations?",Percentage,% staff departed in past 12 months (survey-based),Annual,MEDIUM,"High turnover = service instability; survey shelters, VS, counselling orgs",D9: Workforce Capacity,G,How Systems Work Together,Do organizations have policies that protect survivors?,2,MEDIUM priority + LOW reliability (confidential),LOW
WF02,Workforce,Workforce health indicators,Vacancy rates and burnout indicators in GBV sector,"Are GBV organizations fully staffed and are workers burning out?",Composite,Vacancy rate % + burnout survey score (if available),Annual,MEDIUM,Predictive of service availability; may require anonymous workforce survey,D9: Workforce Capacity,G,How Systems Work Together,Do organizations have policies that protect survivors?,2,MEDIUM priority + LOW reliability (requires survey),LOW
WF03,Workforce,Access to specialized GBV training,Whether local/accessible GBV training opportunities exist for workforce,"Can workers access specialized GBV training locally?",Categorical,"0=None local, 1=Annual training available, 2=Ongoing training program",Annual,MEDIUM,"Include: in-territory training, funded travel to training, online options",D9: Workforce Capacity,G,How Systems Work Together,Do organizations have policies that protect survivors?,2,MEDIUM priority + MEDIUM reliability,MEDIUM
WF04,Workforce,Clinical debriefing opportunities,Whether structured debriefing/supervision exists for GBV workers,"Do GBV workers have access to professional debriefing and supervision?",Binary,"0=No formal debriefing, 1=Regular debriefing available",Annual,LOW,Vicarious trauma mitigation; audit policies of GBV service orgs,D9: Workforce Capacity,G,How Systems Work Together,Do organizations have policies that protect survivors?,2,LOW priority,LOW
WF05,Workforce,Indigenous cultural safety training in healthcare,Whether healthcare workers have completed Indigenous cultural safety training,"Have healthcare workers completed Indigenous cultural safety training?",Percentage,% of health staff with training (estimate from HSS),Annual,MEDIUM,San'yas or equivalent; critical for Indigenous survivor trust,D4: Healthcare Response,C,Health Care That Understands,Do healthcare providers recognize and respond to GBV?,2,MEDIUM priority + LOW reliability (confidential),LOW
SQ01,Service Quality,Trauma-informed mental health services (quality),Degree to which available MH services meet trauma-informed standards,"How well do mental health services actually meet trauma-informed standards?",Categorical,"0=None, 1=Self-identified TI, 2=Certified TI training, 3=Specialized trauma practice",Annual,MEDIUM,Goes beyond binary availability; assess actual training/certification,D4: Healthcare Response,C,Health Care That Understands,Do healthcare providers recognize and respond to GBV?,2,MEDIUM priority - extends HC04,MEDIUM
SQ02,Service Quality,GBV information in rural-appropriate formats,Whether GBV service information distributed via formats accessible without internet,"Can survivors learn about services without needing internet access?",Categorical,"0=Web-only, 1=Print available, 2=Radio/posters, 3=Multiple non-digital formats",Annual,MEDIUM,Internet access unreliable in RRN; audit actual distribution methods,D6: Support Services,E,Help When You Need It,Are crisis and counselling services available?,1,MEDIUM priority but core to RRN accessibility,HIGH
SQ03,Service Quality,Services available in Indigenous languages,Whether GBV services available in local First Nation languages,"Can survivors access services in their First Nation language?",Categorical,"0=English only, 1=French available, 2=Indigenous language available",Annual,MEDIUM,8 FN language families in Yukon; note which languages served,D6: Support Services,E,Help When You Need It,Are crisis and counselling services available?,1,MEDIUM priority but core to Indigenous access,MEDIUM
SQ04,Service Quality,Level of service integration,Degree to which services are co-located or require multiple separate contacts,"How many different places do survivors have to go to get help?",Categorical,"0=Fully fragmented, 1=Some co-location, 2=Integrated intake, 3=One-stop model",Annual,MEDIUM,Navigation burden on survivors; Whitehorse has more integration than rural,D6: Support Services,E,Help When You Need It,Are crisis and counselling services available?,2,MEDIUM priority + MEDIUM reliability,MEDIUM
SQ05,Service Quality,Effectiveness of Emergency Protection Orders,Rate at which EPOs are granted and enforced,"Do Emergency Protection Orders actually get granted and enforced?",Percentage,% EPO applications granted; % breaches resulting in enforcement,Annual,MEDIUM,Requires court data; measures whether legal protection actually functions,D5: Legal/Justice Access,D,Protection and Justice,Can survivors access legal protection and support?,2,MEDIUM priority + LOW reliability (RCMP data via ATIP),LOW
SQ06,Service Quality,Community readiness for new GBV programs,Assessment of implementation feasibility for new interventions,"Is the community ready to support new GBV programs?",Scale,Community Readiness Model score (1-9) via key informant interviews,Project-specific,LOW,Useful for recommendations; requires structured key informant protocol,D10: Prevention Systems,H,Community Conditions,How does the broader context affect survivor safety?,2,LOW priority + requires primary research,MEDIUM
CC01,Community Context,Housing market pressure index,"Impact of market trends (AirBnB, mining camps, speculation) on rental availability","How much pressure is there on the housing market from things like AirBnB and mining?",Composite,Rental vacancy rate + rent-to-income ratio + short-term rental count,Annual,MEDIUM,Contextualizes housing barriers; CMHC + municipal data,D2: Housing Access,A,Safe Places to Stay,Can survivors access emergency and transitional housing?,2,MEDIUM priority - contextual,MEDIUM
CC02,Community Context,RRN-specific cost burdens,Additional costs faced by survivors in RRN contexts,"How much extra does it cost survivors to live in a rural/remote area?",Dollar estimate,"Estimated annual additional cost (fuel, animal care, travel)",Annual,MEDIUM,Economic coercion context; calculate from cost-of-living data,D7: Economic Security,F,Money and Independence,Can survivors access money and resources to leave?,2,MEDIUM priority - contextual,MEDIUM
CC03,Community Context,Childcare availability,Access to licensed childcare as economic independence enabler,"How available is childcare for parents trying to become independent?",Ratio,Licensed childcare spaces per 100 children 0-5,Annual,MEDIUM,Barrier to employment; Yukon childcare registry data,D7: Economic Security,F,Money and Independence,Can survivors access money and resources to leave?,2,MEDIUM priority + HIGH reliability,HIGH
CC04,Community Context,Geographic/social isolation index,Composite measure of community isolation,"How isolated is this community?",Index score,Weighted composite: distance to hub + transport options + internet + cell coverage,Static,MEDIUM,"Risk multiplier for all other indicators; calculated once, updated as infrastructure changes",D11: Geographic Context,H,Community Conditions,How does the broader context affect survivor safety?,2,MEDIUM priority - contextual modifier,HIGH
PE01,Prevention,Community education campaign presence,Whether active GBV prevention/education programs operate in community,"Are there programs in the community to educate people about GBV prevention?",Categorical,"0=None, 1=Occasional, 2=Annual campaign, 3=Ongoing program",Annual,LOW,Primary prevention; inventory all education initiatives,D10: Prevention Systems,H,Community Conditions,How does the broader context affect survivor safety?,2,LOW priority,MEDIUM
PE02,Prevention,Men and boys engagement programs,Availability of programs engaging men/boys in GBV prevention,"Are there programs that engage men and boys in preventing GBV?",Binary,"0=None, 1=Program available",Annual,LOW,Perpetration prevention; relatively rare - note if exists,D10: Prevention Systems,H,Community Conditions,How does the broader context affect survivor safety?,2,LOW priority,LOW
